words,definition
lightweight process,<span> Tiến trình nhẹ</span>
lightweight,"<p>Trong công nghệ thông tin (information technology), thuật ngữ lightweight đôi khi được áp dụng cho một chương trình, giao thức (protocol), thiết bị hoặc bất cứ thứ gì tương đối đơn giản hơn hoặc nhanh hơn hoặc có ít bộ phận hơn một thứ khác. Ví dụ:  Perl đôi khi được cho là lightweight vì nó thường dễ học hơn và viết code nhanh hơn so với một ngôn ngữ phức tạp hơn  như C. Phần mềm được coi là lightweight nếu nó sử dụng một lượng RAM hạn chế. Một hệ điều hành được coi là lightweight nếu kernel của nó yêu cầu một lượng bộ nhớ nhỏ. Xem thêm tiến trình nhẹ (lightweight process), lightweight protocol.</p>"
data element,"<p>Data element là bất kỳ đơn vị dữ liệu nào được xác định để xử lý đều là một phần tử dữ liệu. Ví dụ: ACCOUNT NUMBER, NAME, ADDRESS và CITY. Data element được xác định theo kích thước (tính bằng ký tự) và kiểu (chữ và số, chỉ số, đúng / sai, ngày, v.v.).</p>"
data element,"<p>Trong lập trình hướng đối tượng (object-oriented programming), data element đề cập đến các biến (variable) được khai báo trong một lớp (class).</p>"
instance variable,"<p>Trong lập trình hướng đối tượng (object-oriented programming), instance variable là một biến (variable) được định nghĩa trong một lớp (tức là một biến thành viên (member variable)), mà mỗi đối tượng (object) khởi tạo của lớp (class) có một bản sao hoặc thể hiện riêng biệt. Một instance variable có những điểm tương đồng với một class variable, nhưng không chứa từ khóa static. Instance variable là một biến được khai báo trong một lớp nhưng bên ngoài các hàm tạo (constructor), phương thức (method) hoặc khối (block). Các instance variable được tạo khi một đối tượng được khởi tạo và có thể truy cập được đối với tất cả các hàm tạo, phương thức hoặc khối trong lớp. Các phạm vi truy cập (access modifier) có thể được cung cấp cho instance variable.</p>"
member variable,<span> Biến thành viên</span>
class variable,"<p>Trong lập trình hướng đối tượng (object-oriented programming), class variable là bất kỳ biến (variable) nào được khai báo với từ khóa static trong khai báo lớp (class declaration). Ví dụ trong Java:</p>"
segment table,<span> Bảng phân đoạn</span>
dynamic scope,"<p>Trong dynamic scope, khi ta truy cập / truy xuất một biến (variable), giá trị của biến đó được tìm bằng cách tìm trong khối (block) của biến đó và nếu không tìm thấy thì tìm kiếm trong hàm đang gọi của nó và nếu vẫn không tìm thấy thì tìm trong hàm đã gọi hàm đang gọi đó và và cứ tiếp tục như vậy. Mặc dù nghe định nghĩa có vẻ mơ hồ, bây giờ chúng ta xem một ví dụ trong C để hiểu rõ dynamic scope. Chú ý là ngôn ngữ C là static scope không phải là dynamic scope cho nên chúng ta giả sử code ngôn ngữ C bên dưới là dynamic scope.</p>"
memory management error,<span> Lỗi quản lý bộ nhớ</span>
activation record,"<p>Activation record là một phần của ngăn xếp (stack), nội dung của nó thường chứa 3 thành phần chính sau: (1) các biến cục bộ (local variable) của callee, (2) địa chỉ trả về (return address) cho caller đã gọi hàm để trình biên dịch (complier ) biết nơi nó phải trả về sau khi thực thi xong callee và (3) các tham số (parameter) của callee. Activation record được thêm (thao tác push) vào ngăn xếp (stack) khi một hàm được gọi và nó được xóa đi (thao tác pop) khi control quay trở lại caller.</p>"
fashion,<p>Fashion đề cập đến cách làm cái gì đó. Ví dụ trong ngăn xếp (stack) dữ liệu được truy xuất theo nguyên tắc vào sau ra trước (Last In First Out fashion).</p>
call stack,"<p>Call stack là một cấu trúc dữ liệu ngăn xếp (stack) lưu trữ thông tin về các hàm (function) đã được gọi của một chương trình. Khi một chương trình gọi một hàm (giả sử tên hàm là A), nó sẽ thêm hàm đó vào call stack và sau đó thực thi hàm. Nếu bên trong hàm này lại chứa một lời gọi hàm (function call) của hàm khác (giả sử tên hàm là B) thì hàm B này sẽ được thêm vào call stack nằm bên trên hàm A (thao tác push trong ngăn xếp). Sau khi hàm B thực thi xong chương trình sẽ loại bỏ (thao tác pop trong ngăn xếp) hàm B trong call stack và quay lại thực thi tiếp hàm A và khi hàm A thực thi xong thì chương trình loại bỏ hàm A khỏi call stack. Bây giờ call stack trống.</p>"
segmentation,"<p>Khi nói đến hệ điều hành, segmentation đề cập phân đoạn bộ nhớ (memory segmentation).</p>"
memory segmentation,<span> Phân đoạn bộ nhớ</span>
memory segment,<p>Memory segment chứa chứa một chuỗi các bit bộ nhớ tương ứng với một dải địa chỉ (address). Nói cách khác memory segment là một phân đoạn của bộ nhớ.</p>
dynamic policy,<p>Một policy chỉ cho phép đưa ra quyết định khi chúng ta thực thi chương trình được cho là dynamic policy hoặc yêu cầu quyết định tại thời điểm run time. Xem thêm static policy.</p>
static policy,"<p>Nếu một ngôn ngữ sử dụng một policy cho phép trình biên dịch (compiler) quyết định vấn đề, thì chúng ta nói rằng ngôn ngữ đó sử dụng static policy hoặc vấn đề có thể được quyết định tại thời điểm biên dịch (compile time). Xem thêm dynamic policy.</p>"
memory layout,"<p>Memory layout của chương trình C chứa năm segment, đó là stack segment, heap segment, BSS (block started by symbol), DS (Data Segment) và text segment.</p>"
software reliability,<span> Độ tin cậy của phần mềm</span>
unicode overflow,<p>Unicode overflow tạo ra buffer overflow bằng cách chèn các ký tự unicode vào đầu vào mà chương trình mong rằng chúng là các ký tự ASCII.</p>
integer overflow,"<p>Integer overflow là một loại của buffer overflow, trong đó một phép toán số học (arithmetic operation) tạo ra một số nguyên (whole number) quá lớn đối với kiểu số nguyên (integer) được dùng để lưu trữ nó.</p>"
heap overflow,<p>Heap overflow là một loại của buffer overflow xảy ra trong vùng nhớ  heap. Có hai tình huống có thể dẫn đến heap overflow:</p>
address space randomization,"<p>Address space randomization là một tính năng bảo mật của hệ điều hành, nó sắp xếp lại một cách ngẫu nhiên các vị trí không gian địa chỉ (address space) của các vùng dữ liệu chính của một tiến trình. Nó cũng được sử dụng để giảm thiểu các cuộc tấn công buffer overflow. Các cuộc tấn công buffer overflow thường dựa vào việc biết vị trí chính xác của mã thực thi quan trọng, việc ngẫu nhiên hóa không gian địa chỉ khiến điều đó gần như không thể.</p>"
data execution prevention,"<p>Data execution prevention là một tính năng bảo mật của hệ điều hành (operating system), nó đánh dấu một số khu vực bộ nhớ có thể thực thi hoặc không thực thi, ngăn chặn một exploit thực thi mã được tìm thấy trong khu vực bộ nhớ không thực thi. Nó cũng được sử dụng để giảm thiểu các cuộc tấn công buffer overflow.</p>"
non-login shell,"<p>Non-login shell là shell, được khởi động bởi login shell. Ví dụ: một shell mà bạn đã bắt đầu từ một shell khác hoặc bắt đầu bởi một chương trình, v.v. Một non-login shell thực thi script sau để thiết lập môi trường trình shell.</p>"
non-interactive shell,<p>Non-interactive shell là một shell không thể tương tác với người dùng. Nó thường chạy từ một script hoặc tương tự. Điều này có nghĩa là .bashrc và .profile không được thực thi.</p>
interactive shell,<p>Interactive shell là khi bạn nhập tên của shell khi bạn đã đăng nhập vào hệ thống. Ví dụ:</p>
login shell,"<p>Login shell được tạo sau khi người dùng đăng nhập thành công. Ví dụ: khi bạn đăng nhập hệ thống Linux thông qua terminal, SSH hoặc chuyển sang người dùng bằng lệnh ""su -"". Khi một login shell bắt đầu, nó chạy một tập hợp các tập lệnh được xác định trước để định cấu hình môi trường shell. Để xác định shell hiện tại có phải là login shel hay không, hãy chạy lệnh dưới đây trên terminal.</p>"
shellcode,<p>Shellcode là một danh sách các lệnh (command) được xây dựng cẩn thận có thể được thực thi khi mã được đưa vào một ứng dụng đang chạy. Đó là một loạt các chỉ thị được sử dụng làm payload khi khai thác lỗ hổng bảo mật (vulnerability). Shellcode thường được viết bằng hợp ngữ (assembly language).</p>
reverse shell,"<p>Reverse shell là một loại shell mà máy tính đích (target machine) kết nối với máy của kẻ tấn công. Máy của kẻ tấn công có một cổng (port) lắng nghe kết nối từ máy tính đích, những kẻ tấn công khai thác thành công lỗ hổng thực thi các lệnh từ xa.</p>"
bind shell,"<p>Bind shell là một loại shell trong đó máy đích (target machine) sẽ mở một cổng giao tiếp hoặc listener trên máy nạn nhân (victim machine) và chờ một kết nối đến. Sau đó, kẻ tấn công (attacker) kết nối với listener của máy nạn nhân, sau đó dẫn đến việc thực thi mã hoặc lệnh trên máy chủ (server).</p>"
critical section,"<p>Khi nhiều tiến trình (process) truy cập vào một code segment giống nhau thì segment đó được gọi là critical section. Critical section chứa các biến (variable) hoặc tài nguyên (resource) được chia sẻ cần được đồng bộ hóa để duy trì tính nhất quán của biến dữ liệu.
Một hành động nguyên tử (atomicity) là bắt buộc trong critical section, tức là mỗi lần chỉ có một tiến trình có thể thực thi trong critical section của nó. Tất cả các tiến trình khác phải đợi để thực thi trong các critical section của chúng.</p>"
